Id_Materia;Nombre
151;TALLER DIDÁCTICO I Y ADSCRIPCIÓN
152;HISTORIA DE LA EDUCACIÓN ARGENTINA
153;POLÍTICA Y LEGISLACIÓN EDUCAC. ARGEN.
154;PSICOLOGÍA DEL APRENDIZAJE
155;PLANEAMIENTO DE LOS SISTEMAS EDUCATIVOS
156;ORGANIZACIÓN Y ADMINISTRACIÓN ESCOLAR
157;TECNOLOGÍA EDUCATIVA II
158;RESIDENCIA DOCENTE
159;ECONOMÍA DE LA EDUCACIÓN
160;SEMINARIO PEDAGÓGICO
161;TALLER DIDÁCTICO II Y RESIDENCIA DOCENTE
163;OFIMÁTICA
164;LÓGICA I
165;HARDWARE
166;LÓGICA II
167;ESTRUCTURA DE DATOS
168;APLICACIONES ADMINISTRATIVAS
170;TEORÍA DE BASE DE DATOS
171;PRINCIPIOS DE ORGANIZ. Y ADMINISTRACIÓN
172;PROGRAMACIÓN DE PÁGINAS
173;MATEMÁTICA APLICADA
174;SISTEMAS OPERATIVOS
175;SEMINARIO I
176;ANÁLISIS DE SISTEMAS
177;INTERFAZ GRÁFICA
178;COMERCIALIZACIÓN
179;MERCADOS TURÍSTICOS
180;SERVICIOS TURÍSTICOS
181;PRODUCTO  TURÍSTICO I
182;SISTEMAS DE INFORMACIÓN PARA TURISMO
183;INGLÉS III
184;PRODUCTO TURÍSTICO II
185;ADMINISTRACIÓN HOTELERA
186;PROCESOS HISTÓRICOS, MUNDIALES Y ARGENTINOS
187;VENTA DE SERVICIOS TURÍSTICOS I
188;PORTUGUÉS III
189;PROGRAMACIÓN TURÍSTICA
190;VENTA DE SERVICIOS TURÍSTICOS II
191;SISTEMAS DE VENTAS
192;SISTEMAS ADMINISTRATIVOS
193;PSICOLOGÍA DE LA VENTA
194;TEORÍA Y PRÁCTICA DE MERCADO
195;TÉCNICAS DE VENTA
196;TÉCNICAS Y ESTRATEGIAS DE COMERC.
197;ADMINISTRACIÓN DE LA VENTA
198;ADMINISTRACIÓN DE RECURSOS HUMANOS
199;TÉCNICAS DE NEGOCIACIÓN
200;SEMINARIO DE GESTIÓN DE VENTAS
201;COMERCIO INTERNACIONAL I
202;IDIOMA EXTRANJERO I
203;IDIOMA EXTRANJERO II
204;COMERCIO INTERNACIONAL II
205;GEOGRAFÍA ECONÓMICA
206;GEOGRAFÍA ECONÓMICA II
207;ANÁLISIS DE COSTOS
208;NEGOCIOS INTERNACIONALES
209;INFORMÁTICA II
210;SEMINARIO DE COMERCIALIZACIÓN I
211;TRÁMITES ADUANEROS
212;ELEMENTOS DE DERECHO COMERCIO INTERNACIONAL
213;LOGÍSTICA
214;MARKETING DE COMERCIO INTERNACIONAL
215;SEMINARIO DE COMERCIALIZACIÓN II
216;BIOLOGÍA Y MEDIO AMBIENTE 
217;CLIMA Y SUELO
218;MANEJO DE SUELOS
219;PRINCIPIOS DE ADMINISTRACIÓN
220;INTRODUCCIÓN A LA PRODUCCIÓN AGROPECUARIA
221;ENTORNO ECONÓMICO
222;PRODUCCIÓN VEGETAL
223;ECONOMÍA DE EMPRESAS
224;PRODUCCIÓN ANIMAL
225;TECNOLOGÍA AGROPECUARIA I
226;ELEMENTOS DE CONTABILIDAD
227;TECNOLOGÍA AGROPECUARIA II
228;MERCADOTECNIA II
229;FORMACIÓN DE PRECIOS AGROPECUARIOS
230;ESTRUCTURA DE COSTOS
231;PRODUCCIÓN AGROINDUSTRIAL
232;SEMINARIO FINAL
233;PRODUCCIONES NO TRADICIONALES
234;PUBLICIDAD I
235;PSICOLOGÍA APLICADA A LA PUBLICIDAD I
236;COMERCIALIZACIÓN I
237;PUBLICIDAD II
238;PRODUCCIÓN AUDIOVISUAL
239;PSICOLOGÍA APLICADA A LA PUBLICIDAD II
240;COMERCIALIZACIÓN II
241;SEMINARIO DE REDACCIÓN
242;ESTADÍSTICA APLICADA A LA PUBLICIDAD I
243;CREACIÓN PUBLICITARIA I
244;PLANIFICACIÓN Y MEDIOS I
245;SEMINARIO DE T.V.
246;ESTADÍSTICA APLICADA A LA PUBLICIDAD II
247;CREACIÓN PUBLICITARIA II
248;PLANIFICACIÓN Y MEDIOS II
249;INVESTIGACIÓN EN PUBLICIDAD Y COMERC. I
250;SEMINARIO DE PRÁCTICA PROFESIONAL I
251;IDIOMA EXTRANJERO
252;PRODUCCIÓN TELEVISIVA
253;ÉTICA Y DEONTOLOGÍA PROFESIONAL
254;INVESTIGACIÓN EN PUBLICIDAD Y COMERC. II
255;HISTORIA DE LA CULTURA
256;DISEÑOMÁTICA III
257;PUBLICIDAD
258;MARKETING I
259;COMUNICACIÓN VISUAL
260;ANÁLISIS DE LOS MEDIOS DE COMUNICACIÓN
261;PRODUCCIÓN TELEVISIVA I
262;COMPORTAMIENTO DEL CONSUMIDOR
263;MARKETING II
264;GRAMÁTICA APLICADA
265;PLANEAMIENTO DE LA COMUNICACIÓN I
266;CULTURA ORGANIZACIONAL I
267;PLANEAMIENTO DE LA COMUNICACIÓN II
268;CULTURA ORGANIZACIONAL II
269;ADMINISTRACIÓN
270;PRODUCCIÓN TELEVISIVA II
271;SEMINARIO DE PRÁCTICA PROFESIONAL II
272;FILOSOFÍA DE LA CIENCIA Y LA TÉCNICA I
273;FILOSOFÍA DE LA CIENCIA Y LA TÉCNICA II
274;FUNDAMENTOS TEÓRICOS DE LA TECNOLOGÍA EDUCATIVA
275;SEMINARIO
276;PUBLIMÁTICA I
277;PUBLIMÁTICA II
278;PUBLIMÁTICA III
279;ELEMENTOS DE ANÁLISIS ECONÓMICO Y SOCIAL I
280;ELEMENTOS DE ANÁLISIS ECONÓMICO Y SOCIAL II
281;ORGANIZACIÓN Y ADMINISTRACIÓN DE LA EMPRESA PUBLICITARIA
282;TALLER DE T.V.
283;SEMINARIO DE ATENCIÓN DE CUENTAS
284;TEORÍA Y PRÁCTICA DEL COMERCIO INTERNACIONAL
285;SEMINARIO DE CONSOLIDACIÓN I
286;SEMINARIO DE CONSOLIDACIÓN II
287;PROGRAMACIÓN ORIENTADA A OBJETOS
288;SOCIOLOGÍA DEL PODER
289;INFORMÁTICA Y MERCADOTECNIA
293;DIGITALIZACIÓN
294;ECOLOGÍA
296;GESTIÓN DEL RECURSO AGUA
299;SONIDO Y MUSICALIZACIÓN
300;VIDEO I
301;ANIMACIÓN
302;TALLER DE MULTIMEDIA
303;VIDEO II
304;NEGOCIOS Y MULTIMEDIA
305;GESTIÓN DE PROYECTOS MULTIMEDIA
306;MULTIMEDIA Y REDES
309;CONFECCIÓN Y ANÁLISIS DE TEXTOS  I
310;CONFECCIÓN Y ANÁLISIS DE TEXTOS  II
311;LENGUAJE AUDIOVISUAL  I
312;LENGUAJE VERBAL
313;LENGUAJE AUDIOVISUAL  II
314;COMUNICACIÓN PERSUASIVA
315;MULTIMEDIA  I
317;MULTIMEDIA  II
318;DISEÑO DE PÁGINAS
319;CULTURA CONTEMPORÁNEA
320;COMUNICACIÓN Y REDES
321;GESTIÓN DE LA COMUNICACIÓN
322;ELEMENTOS DE CONTABILIDAD  I
323;MATEMÁTICA
324;OPERATORIA Y AUDITORÍA BANCARIA Y SERVIC
325;GESTIÓN FINANCIERA  I
327;ELEMENTOS DE CONTABILIDAD  II
328;AUDITORÍA OPERATIVA
329;GESTIÓN FINANCIERA  II
330;DIRECCIÓN GENERAL
331;ANÁLISIS CONTABLE Y FINANCIERO
332;AUDITORÍA DE SISTEMAS
333;INTRODUCCIÓN AL DERECHO
334;HISTORIA DEL DERECHO
335;TRAMITACIONES  I
336;LOGÍSTICA Y NEGOCIOS
