Id_Alumno;Id_Carrera;Semestre_Ingreso;Año_Ingreso;Id_Ctro_Ext;Id_Modalidad;Fecha_Ingreso;Activo;Sexo;Fecha_Nac
0x60C7AD9BBB71A19D26658CC90B75F448;5;1;2001;CO;P;2001-01-26 00:00:00;S;M;9/7/1971 00:00
0x94048A38DE93BBB6F5193FF2325C1CEB;18;1;2006;CO;P;2006-01-24 00:00:00;S;M;7/8/1971 00:00
0x23ED0CC9E3446CD23E484375D15705D4;2;1;2001;CO;P;2001-02-26 00:00:00;S;M;14/7/1971 00:00
0x7D2C08718E9560C2D674CEB4CD97784D;16;2;2001;CO;P;2001-08-13 00:00:00;S;M;28/8/1971 00:00
0x86D3972581A628D81E249BE293F380BC;5;1;2001;CO;P;2001-03-22 00:00:00;S;M;7/7/1971 00:00
0x9530CE8299C7D0B9D1FE0AB99CAF3810;6;1;2001;CO;P;2001-03-02 00:00:00;S;F;23/6/1971 00:00
0xBCBC272BB79D638D8A5CBE0C55F08BE6;7;2;2002;CO;P;2002-08-08 00:00:00;S;F;5/8/1971 00:00
0x9E60CEA4305B11EAEB97925533D0A266;6;1;2001;CO;P;2001-04-03 00:00:00;S;F;26/9/1971 00:00
0xF146A4CA78ABADD801D51426703C8A27;39;1;2005;CO;P;2005-03-18 13:26:00;S;M;21/11/1971 00:00
0xB31DCD8790DC2FE58480C5AB22030ABC;7;2;2005;CO;P;2005-08-22 00:00:00;S;F;13/6/1979 00:00
0x62BACF0690462EA1A93079F43CE6AD7B;1;1;2001;CO;P;2001-03-02 00:00:00;S;M;5/11/1971 00:00
0xA25E4B3147C5C2AAD0866EF84B934047;13;1;2001;CO;P;2001-03-01 00:00:00;S;M;16/12/1971 00:00
0xA2F743619EEF3F087F7D47C059DA9B13;2;2;2002;CO;P;2002-08-23 00:00:00;S;M;29/12/1971 00:00
0x32D1B9D5A21B784B8B5C3A9FFF5EEE95;1;1;2001;CO;P;2001-02-06 00:00:00;S;F;18/3/1972 00:00
0x6C67F69A248B9066657B7F1710BEEF2A;3;2;2002;CO;P;2002-07-25 00:00:00;S;F;15/6/1972 00:00
0x300AC2E837BE547DBC6A0C5149DC15CA;13;1;2001;CO;P;2001-03-06 00:00:00;S;M;12/1/1973 00:00
0x355597CFAF7D37815E89A44E1F816183;1;1;2010;CO;P;2010-04-19 00:00:00;S;M;9/10/1972 00:00
0x7C3E56219559B10F9417FF5E000EF73E;13;1;2001;CO;P;2001-03-09 00:00:00;S;M;23/8/1972 00:00
0x65F548A61D2683EB7CB6338911260933;1;1;2007;CO;P;2006-12-06 00:00:00;S;M;9/5/1972 00:00
0x616AC6CB8708135E3AB9810C08ED0CCD;4;2;2001;CO;P;2001-08-29 00:00:00;S;M;16/11/1972 00:00
0x5EF8EE4A0B1F6BE46607A5DC5E2B80BA;8;1;2006;CO;P;2006-02-06 00:00:00;S;M;26/1/1973 00:00
0x7397E9D9FF197C1312A6D6100EAA3277;1;1;2009;CO;P;2009-02-25 00:00:00;S;M;25/10/1972 00:00
0x25F4709258A1A3F0C49F4BB000668114;2;1;2004;CO;P;2004-03-22 00:00:00;S;F;7/10/1972 00:00
0x4D898DB2B67F369DD08A7C7910128A22;2;1;2001;CO;P;2001-03-05 00:00:00;S;F;20/11/1972 00:00
0xC54B954A2B01F4DBD7EE59CCD20A5CA5;16;1;2001;CO;P;2001-03-13 00:00:00;S;F;24/12/1972 00:00
0x1696BFFFE486EA1C9E0F0A2974976831;2;1;2004;CO;P;2004-02-13 00:00:00;S;F;11/6/1973 00:00
0x3B790A2DD27FEDFE43289A612770ADF4;1;1;2001;CO;P;2001-03-02 00:00:00;S;M;31/10/1974 00:00
0xC4532002049265323E9AD0DCDB493A6A;13;1;2002;CO;P;2002-03-12 00:00:00;S;M;23/4/1973 00:00
0x811B0B26439EB2AA0AB7578638E4CD8D;5;1;2002;CO;P;2002-02-18 00:00:00;S;M;15/9/1973 00:00
0xEDB9E4D1C59C5B066D50F9EC8A4776B4;2;1;2001;CO;P;2001-03-05 00:00:00;N;F;14/3/1975 00:00
0x8A183B71BA084A706F287769C2E37A54;9;1;2010;CO;P;2010-03-22 00:00:00;S;M;23/8/1973 00:00
0xC9418C28F4C1C8ABF1417F0A41075945;2;1;2001;CO;P;2001-03-14 00:00:00;S;M;3/7/1973 00:00
